EID,Abstract,Year
2-s2.0-85086360607,https://www.scopus.com/record/display.url?eid=2-s2.0-85086360607&origin=resultslist,2020
2-s2.0-85111644517,https://www.scopus.com/record/display.url?eid=2-s2.0-85111644517&origin=resultslist,2021
2-s2.0-85078339946,https://www.scopus.com/record/display.url?eid=2-s2.0-85078339946&origin=resultslist,2020
2-s2.0-85079457192,https://www.scopus.com/record/display.url?eid=2-s2.0-85079457192&origin=resultslist,2020
2-s2.0-85089150274,https://www.scopus.com/record/display.url?eid=2-s2.0-85089150274&origin=resultslist,2020
2-s2.0-85092706415,https://www.scopus.com/record/display.url?eid=2-s2.0-85092706415&origin=resultslist,2021
2-s2.0-85082887977,https://www.scopus.com/record/display.url?eid=2-s2.0-85082887977&origin=resultslist,2020
2-s2.0-85119601387,https://www.scopus.com/record/display.url?eid=2-s2.0-85119601387&origin=resultslist,2022
2-s2.0-85079790745,https://www.scopus.com/record/display.url?eid=2-s2.0-85079790745&origin=resultslist,2020
2-s2.0-85078252460,https://www.scopus.com/record/display.url?eid=2-s2.0-85078252460&origin=resultslist,2020
2-s2.0-85076572227,https://www.scopus.com/record/display.url?eid=2-s2.0-85076572227&origin=resultslist,2020
2-s2.0-85113667944,https://www.scopus.com/record/display.url?eid=2-s2.0-85113667944&origin=resultslist,2021
2-s2.0-85078896655,https://www.scopus.com/record/display.url?eid=2-s2.0-85078896655&origin=resultslist,2020
2-s2.0-85079032984,https://www.scopus.com/record/display.url?eid=2-s2.0-85079032984&origin=resultslist,2020
2-s2.0-85097368095,https://www.scopus.com/record/display.url?eid=2-s2.0-85097368095&origin=resultslist,2021
2-s2.0-85114697648,https://www.scopus.com/record/display.url?eid=2-s2.0-85114697648&origin=resultslist,2021
2-s2.0-85099758567,https://www.scopus.com/record/display.url?eid=2-s2.0-85099758567&origin=resultslist,2021
2-s2.0-85076543497,https://www.scopus.com/record/display.url?eid=2-s2.0-85076543497&origin=resultslist,2020
2-s2.0-85096784602,https://www.scopus.com/record/display.url?eid=2-s2.0-85096784602&origin=resultslist,2021
2-s2.0-85085657976,https://www.scopus.com/record/display.url?eid=2-s2.0-85085657976&origin=resultslist,2020
2-s2.0-85173966425,https://www.scopus.com/record/display.url?eid=2-s2.0-85173966425&origin=resultslist,2023
2-s2.0-85106306570,https://www.scopus.com/record/display.url?eid=2-s2.0-85106306570&origin=resultslist,2021
2-s2.0-85078520221,https://www.scopus.com/record/display.url?eid=2-s2.0-85078520221&origin=resultslist,2020
2-s2.0-85083317814,https://www.scopus.com/record/display.url?eid=2-s2.0-85083317814&origin=resultslist,2020
2-s2.0-85097016134,https://www.scopus.com/record/display.url?eid=2-s2.0-85097016134&origin=resultslist,2021
2-s2.0-85117437749,https://www.scopus.com/record/display.url?eid=2-s2.0-85117437749&origin=resultslist,2021
2-s2.0-85104751146,https://www.scopus.com/record/display.url?eid=2-s2.0-85104751146&origin=resultslist,2021
2-s2.0-85124429674,https://www.scopus.com/record/display.url?eid=2-s2.0-85124429674&origin=resultslist,2022
2-s2.0-85089147889,https://www.scopus.com/record/display.url?eid=2-s2.0-85089147889&origin=resultslist,2021
2-s2.0-85052552163,https://www.scopus.com/record/display.url?eid=2-s2.0-85052552163&origin=resultslist,2020
2-s2.0-85123793236,https://www.scopus.com/record/display.url?eid=2-s2.0-85123793236&origin=resultslist,2022
2-s2.0-85096238019,https://www.scopus.com/record/display.url?eid=2-s2.0-85096238019&origin=resultslist,2020
2-s2.0-85089667281,https://www.scopus.com/record/display.url?eid=2-s2.0-85089667281&origin=resultslist,2020
2-s2.0-85108114257,https://www.scopus.com/record/display.url?eid=2-s2.0-85108114257&origin=resultslist,2021
2-s2.0-85045982692,https://www.scopus.com/record/display.url?eid=2-s2.0-85045982692&origin=resultslist,2020
2-s2.0-85126653913,https://www.scopus.com/record/display.url?eid=2-s2.0-85126653913&origin=resultslist,2022
2-s2.0-85115423346,https://www.scopus.com/record/display.url?eid=2-s2.0-85115423346&origin=resultslist,2021
2-s2.0-85058173278,https://www.scopus.com/record/display.url?eid=2-s2.0-85058173278&origin=resultslist,2020
2-s2.0-85083546199,https://www.scopus.com/record/display.url?eid=2-s2.0-85083546199&origin=resultslist,2020
2-s2.0-85097496431,https://www.scopus.com/record/display.url?eid=2-s2.0-85097496431&origin=resultslist,2021
2-s2.0-85083975031,https://www.scopus.com/record/display.url?eid=2-s2.0-85083975031&origin=resultslist,2020
2-s2.0-85096675920,https://www.scopus.com/record/display.url?eid=2-s2.0-85096675920&origin=resultslist,2021
2-s2.0-85104597072,https://www.scopus.com/record/display.url?eid=2-s2.0-85104597072&origin=resultslist,2021
2-s2.0-85124521876,https://www.scopus.com/record/display.url?eid=2-s2.0-85124521876&origin=resultslist,2022
2-s2.0-85088666998,https://www.scopus.com/record/display.url?eid=2-s2.0-85088666998&origin=resultslist,2020
2-s2.0-85083419780,https://www.scopus.com/record/display.url?eid=2-s2.0-85083419780&origin=resultslist,2020
2-s2.0-85083862127,https://www.scopus.com/record/display.url?eid=2-s2.0-85083862127&origin=resultslist,2020
2-s2.0-85122280880,https://www.scopus.com/record/display.url?eid=2-s2.0-85122280880&origin=resultslist,2021
2-s2.0-85084806878,https://www.scopus.com/record/display.url?eid=2-s2.0-85084806878&origin=resultslist,2020
2-s2.0-85077084003,https://www.scopus.com/record/display.url?eid=2-s2.0-85077084003&origin=resultslist,2020
2-s2.0-85137897957,https://www.scopus.com/record/display.url?eid=2-s2.0-85137897957&origin=resultslist,2022
2-s2.0-85098746571,https://www.scopus.com/record/display.url?eid=2-s2.0-85098746571&origin=resultslist,2022
2-s2.0-85099781518,https://www.scopus.com/record/display.url?eid=2-s2.0-85099781518&origin=resultslist,2021
2-s2.0-85053111714,https://www.scopus.com/record/display.url?eid=2-s2.0-85053111714&origin=resultslist,2020
2-s2.0-85117436996,https://www.scopus.com/record/display.url?eid=2-s2.0-85117436996&origin=resultslist,2021
2-s2.0-85090934601,https://www.scopus.com/record/display.url?eid=2-s2.0-85090934601&origin=resultslist,2020
2-s2.0-85084372780,https://www.scopus.com/record/display.url?eid=2-s2.0-85084372780&origin=resultslist,2020
2-s2.0-85146481285,https://www.scopus.com/record/display.url?eid=2-s2.0-85146481285&origin=resultslist,2023
2-s2.0-85099870938,https://www.scopus.com/record/display.url?eid=2-s2.0-85099870938&origin=resultslist,2021
2-s2.0-85113694671,https://www.scopus.com/record/display.url?eid=2-s2.0-85113694671&origin=resultslist,2021
2-s2.0-85081701140,https://www.scopus.com/record/display.url?eid=2-s2.0-85081701140&origin=resultslist,2020
2-s2.0-85072805673,https://www.scopus.com/record/display.url?eid=2-s2.0-85072805673&origin=resultslist,2020
2-s2.0-85112600850,https://www.scopus.com/record/display.url?eid=2-s2.0-85112600850&origin=resultslist,2021
2-s2.0-85085328187,https://www.scopus.com/record/display.url?eid=2-s2.0-85085328187&origin=resultslist,2020
2-s2.0-85082029801,https://www.scopus.com/record/display.url?eid=2-s2.0-85082029801&origin=resultslist,2020
2-s2.0-85091215713,https://www.scopus.com/record/display.url?eid=2-s2.0-85091215713&origin=resultslist,2021
2-s2.0-85079552138,https://www.scopus.com/record/display.url?eid=2-s2.0-85079552138&origin=resultslist,2020
2-s2.0-85088554844,https://www.scopus.com/record/display.url?eid=2-s2.0-85088554844&origin=resultslist,2020
2-s2.0-85106604693,https://www.scopus.com/record/display.url?eid=2-s2.0-85106604693&origin=resultslist,2021
2-s2.0-85080853579,https://www.scopus.com/record/display.url?eid=2-s2.0-85080853579&origin=resultslist,2020
2-s2.0-85103987413,https://www.scopus.com/record/display.url?eid=2-s2.0-85103987413&origin=resultslist,2021
2-s2.0-85086599185,https://www.scopus.com/record/display.url?eid=2-s2.0-85086599185&origin=resultslist,2020
2-s2.0-85120713813,https://www.scopus.com/record/display.url?eid=2-s2.0-85120713813&origin=resultslist,2022
2-s2.0-85082943556,https://www.scopus.com/record/display.url?eid=2-s2.0-85082943556&origin=resultslist,2020
2-s2.0-85076239978,https://www.scopus.com/record/display.url?eid=2-s2.0-85076239978&origin=resultslist,2020
2-s2.0-85105545411,https://www.scopus.com/record/display.url?eid=2-s2.0-85105545411&origin=resultslist,2021
2-s2.0-85127320528,https://www.scopus.com/record/display.url?eid=2-s2.0-85127320528&origin=resultslist,2022
2-s2.0-85132955975,https://www.scopus.com/record/display.url?eid=2-s2.0-85132955975&origin=resultslist,2022
2-s2.0-85101121543,https://www.scopus.com/record/display.url?eid=2-s2.0-85101121543&origin=resultslist,2022
2-s2.0-85094979918,https://www.scopus.com/record/display.url?eid=2-s2.0-85094979918&origin=resultslist,2020
2-s2.0-85094636586,https://www.scopus.com/record/display.url?eid=2-s2.0-85094636586&origin=resultslist,2020
2-s2.0-85103127713,https://www.scopus.com/record/display.url?eid=2-s2.0-85103127713&origin=resultslist,2021
2-s2.0-85089263174,https://www.scopus.com/record/display.url?eid=2-s2.0-85089263174&origin=resultslist,2020
2-s2.0-85076611716,https://www.scopus.com/record/display.url?eid=2-s2.0-85076611716&origin=resultslist,2020
2-s2.0-85132603403,https://www.scopus.com/record/display.url?eid=2-s2.0-85132603403&origin=resultslist,2022
2-s2.0-85093946055,https://www.scopus.com/record/display.url?eid=2-s2.0-85093946055&origin=resultslist,2020
2-s2.0-85086749848,https://www.scopus.com/record/display.url?eid=2-s2.0-85086749848&origin=resultslist,2020
2-s2.0-85089581980,https://www.scopus.com/record/display.url?eid=2-s2.0-85089581980&origin=resultslist,2020
2-s2.0-85111672523,https://www.scopus.com/record/display.url?eid=2-s2.0-85111672523&origin=resultslist,2021
2-s2.0-85115189692,https://www.scopus.com/record/display.url?eid=2-s2.0-85115189692&origin=resultslist,2022
2-s2.0-85077629377,https://www.scopus.com/record/display.url?eid=2-s2.0-85077629377&origin=resultslist,2020
2-s2.0-85095842733,https://www.scopus.com/record/display.url?eid=2-s2.0-85095842733&origin=resultslist,2021
2-s2.0-85101084967,https://www.scopus.com/record/display.url?eid=2-s2.0-85101084967&origin=resultslist,2021
2-s2.0-85090426216,https://www.scopus.com/record/display.url?eid=2-s2.0-85090426216&origin=resultslist,2020
2-s2.0-85094959935,https://www.scopus.com/record/display.url?eid=2-s2.0-85094959935&origin=resultslist,2021
2-s2.0-85096407734,https://www.scopus.com/record/display.url?eid=2-s2.0-85096407734&origin=resultslist,2020
2-s2.0-85102884574,https://www.scopus.com/record/display.url?eid=2-s2.0-85102884574&origin=resultslist,2021
2-s2.0-85074533771,https://www.scopus.com/record/display.url?eid=2-s2.0-85074533771&origin=resultslist,2020
2-s2.0-85106459733,https://www.scopus.com/record/display.url?eid=2-s2.0-85106459733&origin=resultslist,2021
2-s2.0-85087117946,https://www.scopus.com/record/display.url?eid=2-s2.0-85087117946&origin=resultslist,2020
2-s2.0-85099145347,https://www.scopus.com/record/display.url?eid=2-s2.0-85099145347&origin=resultslist,2021
2-s2.0-85090294038,https://www.scopus.com/record/display.url?eid=2-s2.0-85090294038&origin=resultslist,2020
2-s2.0-85082446803,https://www.scopus.com/record/display.url?eid=2-s2.0-85082446803&origin=resultslist,2020
2-s2.0-85108153975,https://www.scopus.com/record/display.url?eid=2-s2.0-85108153975&origin=resultslist,2021
2-s2.0-85097446705,https://www.scopus.com/record/display.url?eid=2-s2.0-85097446705&origin=resultslist,2021
2-s2.0-85085924476,https://www.scopus.com/record/display.url?eid=2-s2.0-85085924476&origin=resultslist,2020
2-s2.0-85092690496,https://www.scopus.com/record/display.url?eid=2-s2.0-85092690496&origin=resultslist,2020
